FILENAME DATE_OBS SPTZR_X SPTZR_Y SPTZR_Z
r65978112/SPITZER_I1_65978112_0017_0000_1_clean.fits 2018-08-12T17:46:37.749 -130008610.47455 -68969135.914212 -33034688.843615
r65978112/SPITZER_I1_65978112_0018_0000_1_clean.fits 2018-08-12T17:47:17.745 -130008017.169238 -68970079.635365 -33035105.230563
r65978112/SPITZER_I1_65978112_0019_0000_1_clean.fits 2018-08-12T17:47:57.741 -130007423.855883 -68971023.35225 -33035521.615467
r65978112/SPITZER_I1_65978112_0020_0000_1_clean.fits 2018-08-12T17:48:37.745 -130006830.418589 -68971967.249205 -33035938.07966
r65978112/SPITZER_I1_65978112_0021_0000_1_clean.fits 2018-08-12T17:49:17.346 -130006242.941932 -68972901.648607 -33036350.353205
r65978112/SPITZER_I1_65978112_0022_0000_1_clean.fits 2018-08-12T17:49:56.944 -130005655.515338 -68973835.951658 -33036762.58408
r65978112/SPITZER_I1_65978112_0023_0000_1_clean.fits 2018-08-12T17:50:35.737 -130005080.018545 -68974751.264127 -33037166.435824
r65978112/SPITZER_I1_65978112_0024_0000_1_clean.fits 2018-08-12T17:51:15.342 -130004492.460443 -68975685.743231 -33037578.744063
r65978112/SPITZER_I1_65978112_0025_0000_1_clean.fits 2018-08-12T17:51:54.135 -130003916.948358 -68976601.047587 -33037982.591921
r65978112/SPITZER_I1_65978112_0026_0000_1_clean.fits 2018-08-12T17:52:32.940 -130003341.25485 -68977516.624426 -33038386.559852
r65978112/SPITZER_I1_65978112_0027_0000_1_clean.fits 2018-08-12T17:53:11.342 -130002771.522928 -68978422.704211 -33038786.337373
r65978112/SPITZER_I1_65978112_0028_0000_1_clean.fits 2018-08-12T17:53:49.744 -130002201.78359 -68979328.780066 -33039186.113012
r65978112/SPITZER_I1_65978112_0029_0000_1_clean.fits 2018-08-12T17:54:28.139 -130001632.15275 -68980234.667651 -33039585.805434
r65978112/SPITZER_I1_65978112_0030_0000_1_clean.fits 2018-08-12T17:55:05.733 -130001074.395316 -68981121.657653 -33039977.15979
r65978112/SPITZER_I1_65978112_0031_0000_1_clean.fits 2018-08-12T17:55:43.342 -130000516.398953 -68982009.012538 -33040368.674995
r65978112/SPITZER_I1_65978112_0032_0000_1_clean.fits 2018-08-12T17:56:21.346 -129999952.541853 -68982905.672151 -33040764.295451
r65978112/SPITZER_I2_65978112_0001_0000_1_clean.fits 2018-08-12T17:36:04.175 -130018007.893215 -68954185.950405 -33028092.626
r65978112/SPITZER_I2_65978112_0002_0000_1_clean.fits 2018-08-12T17:36:45.753 -130017391.252214 -68955167.070283 -33028525.516596
r65978112/SPITZER_I2_65978112_0003_0000_1_clean.fits 2018-08-12T17:37:26.160 -130016791.982845 -68956120.532983 -33028946.204102
r65978112/SPITZER_I2_65978112_0004_0000_1_clean.fits 2018-08-12T17:38:05.753 -130016204.755785 -68957054.81897 -33029358.430284
r65978112/SPITZER_I2_65978112_0005_0000_1_clean.fits 2018-08-12T17:38:45.757 -130015611.437569 -68957998.779085 -33029774.924729
r65978112/SPITZER_I2_65978112_0006_0000_1_clean.fits 2018-08-12T17:39:25.355 -130015024.136725 -68958933.148841 -33030187.187555
r65978112/SPITZER_I2_65978112_0007_0000_1_clean.fits 2018-08-12T17:40:04.155 -130014448.64725 -68959848.711007 -33030591.151938
r65978112/SPITZER_I2_65978112_0008_0000_1_clean.fits 2018-08-12T17:40:43.749 -130013861.388736 -68960782.980311 -33031003.370129
r65978112/SPITZER_I2_65978112_0009_0000_1_clean.fits 2018-08-12T17:41:22.151 -130013291.79375 -68961689.13274 -33031403.182445
r65978112/SPITZER_I2_65978112_0010_0000_1_clean.fits 2018-08-12T17:42:01.343 -130012710.487508 -68962613.900055 -33031811.207863
r65978112/SPITZER_I2_65978112_0011_0000_1_clean.fits 2018-08-12T17:42:39.351 -130012146.729533 -68963510.735173 -33032206.908901
r65978112/SPITZER_I2_65978112_0012_0000_1_clean.fits 2018-08-12T17:43:18.147 -130011571.260151 -68964426.185092 -33032610.823001
r65978112/SPITZER_I2_65978112_0013_0000_1_clean.fits 2018-08-12T17:43:56.147 -130011007.603385 -68965322.828078 -33033006.438973
r65978112/SPITZER_I2_65978112_0014_0000_1_clean.fits 2018-08-12T17:44:34.155 -130010443.823472 -68966219.651555 -33033402.134436
r65978112/SPITZER_I2_65978112_0015_0000_1_clean.fits 2018-08-12T17:45:11.749 -130009886.178311 -68967106.701122 -33033793.517322
r65978112/SPITZER_I2_65978112_0016_0000_1_clean.fits 2018-08-12T17:45:49.350 -130009328.410157 -68967993.931257 -33034184.979735
r69848576/SPITZER_I2_69848576_0002_0000_1_clean.fits 2019-09-06T22:52:38.212 -103027429.410438 -100403476.648232 -46795749.062653
r69848576/SPITZER_I2_69848576_0003_0000_1_clean.fits 2019-09-06T22:54:28.184 -103025065.334707 -100405539.162367 -46796643.039213
r69848576/SPITZER_I2_69848576_0004_0000_1_clean.fits 2019-09-06T22:56:18.583 -103022692.057944 -100407609.615121 -46797540.455161
r69848576/SPITZER_I2_69848576_0005_0000_1_clean.fits 2019-09-06T22:58:09.383 -103020310.083454 -100409687.566408 -46798441.11973
r69848576/SPITZER_I2_69848576_0006_0000_1_clean.fits 2019-09-06T22:59:58.989 -103017953.757864 -100411743.054388 -46799332.046315
r69848576/SPITZER_I2_69848576_0007_0000_1_clean.fits 2019-09-06T23:01:47.383 -103015623.418651 -100413775.787556 -46800213.108615
r69848576/SPITZER_I2_69848576_0009_0000_1_clean.fits 2019-09-06T23:05:24.969 -103010945.468423 -100417856.061257 -46801981.646824
r69848576/SPITZER_I2_69848576_0010_0000_1_clean.fits 2019-09-06T23:07:12.965 -103008623.556158 -100419881.187063 -46802859.407391
r69848832/SPITZER_I2_69848832_0002_0000_1_clean.fits 2019-08-10T13:20:18.383 -141178518.804413 -46949949.015643 -23279520.792975
r69848832/SPITZER_I2_69848832_0003_0000_1_clean.fits 2019-08-10T13:22:08.347 -141177405.03515 -46952764.820854 -23280773.032615
r69848832/SPITZER_I2_69848832_0004_0000_1_clean.fits 2019-08-10T13:23:58.750 -141176286.767967 -46955591.806679 -23282030.243342
r69848832/SPITZER_I2_69848832_0005_0000_1_clean.fits 2019-08-10T13:25:49.144 -141175168.513056 -46958418.570215 -23283287.354076
r69848832/SPITZER_I2_69848832_0006_0000_1_clean.fits 2019-08-10T13:27:39.136 -141174054.26724 -46961235.009211 -23284539.872179
r69848832/SPITZER_I2_69848832_0007_0000_1_clean.fits 2019-08-10T13:29:27.534 -141172956.101535 -46964010.617353 -23285774.231005
r69848832/SPITZER_I2_69848832_0008_0000_1_clean.fits 2019-08-10T13:31:16.335 -141171853.794934 -46966796.506185 -23287013.160722
r69848832/SPITZER_I2_69848832_0009_0000_1_clean.fits 2019-08-10T13:33:05.140 -141170751.38381 -46969582.473434 -23288252.124209
r69848832/SPITZER_I2_69848832_0010_0000_1_clean.fits 2019-08-10T13:34:52.749 -141169661.019737 -46972337.813195 -23289477.466083
