FILENAME,GMATCHES,GRADELTA,GRASIGMA,GDEDELTA,GDESIGMA
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0001_0000_2_clean.fits.fcat[CATALOG],77,-2.5927413389581E-05,3.91087719514087E-05,-2.1979091897605E-05,4.02063103549833E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0002_0000_2_clean.fits.fcat[CATALOG],81,1.09278696527326E-05,3.17723474476168E-05,-2.0405948731649E-05,3.05296048433082E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0003_0000_2_clean.fits.fcat[CATALOG],89,-6.9011860944101E-05,4.01640185958311E-05,-3.6341664820582E-05,3.27642086637206E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0004_0000_2_clean.fits.fcat[CATALOG],90,1.06598288311943E-05,3.70020999446702E-05,-1.8526119282213E-05,4.07638891406378E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0005_0000_2_clean.fits.fcat[CATALOG],84,-1.8898510177223E-05,3.74379319915074E-05,-1.8074199118700E-05,3.81003692735690E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0006_0000_2_clean.fits.fcat[CATALOG],85,-2.2299464490060E-05,3.80547387996859E-05,-3.2585943515073E-05,2.58816125630734E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0007_0000_2_clean.fits.fcat[CATALOG],87,4.51834631576275E-06,3.74523179036389E-05,-1.8359877564932E-05,3.64969588852053E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0008_0000_2_clean.fits.fcat[CATALOG],83,4.68364606831528E-06,3.71310144659952E-05,-4.4447177636186E-06,2.97666912167676E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0009_0000_2_clean.fits.fcat[CATALOG],83,-1.5030096562895E-05,5.36994215769179E-05,-4.0311264690728E-05,3.46419472353435E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0010_0000_2_clean.fits.fcat[CATALOG],73,-4.8071196374621E-06,4.26503024423903E-05,-6.3976419113487E-06,3.99686171774594E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0011_0000_2_clean.fits.fcat[CATALOG],69,-2.2750141965843E-06,2.84166347644757E-05,-2.0611417788529E-05,2.81561120786953E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r39526912/SPITZER_I2_39526912_0012_0000_2_clean.fits.fcat[CATALOG],81,2.95809064709828E-06,4.52842735503453E-05,-2.5194549792217E-05,3.95166639825020E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0001_0000_2_clean.fits.fcat[CATALOG],136,3.39649669456321E-05,4.41994230966873E-05,-1.2417477039505E-05,3.13673659417665E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0002_0000_2_clean.fits.fcat[CATALOG],139,5.60055673304304E-06,3.67155124249968E-05,-2.2839587664691E-05,3.75116302615986E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0003_0000_2_clean.fits.fcat[CATALOG],133,6.77715167967107E-05,4.01081860908410E-05,-1.1419040241378E-05,3.34121225021693E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0004_0000_2_clean.fits.fcat[CATALOG],130,4.35696323677348E-05,3.98033807792001E-05,-1.2672206599617E-05,3.29232998859682E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r41027328/SPITZER_I2_41027328_0005_0000_2_clean.fits.fcat[CATALOG],141,3.26223090496569E-05,4.07816788372697E-05,-2.0610164476408E-05,3.04821680234353E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0001_0000_2_clean.fits.fcat[CATALOG],131,1.99109726963797E-05,4.15687639477516E-05,-8.5875451460992E-06,2.92781543159068E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0002_0000_2_clean.fits.fcat[CATALOG],123,1.80569558665411E-05,3.78538424664722E-05,-4.2540727747564E-05,3.61287885993379E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0003_0000_2_clean.fits.fcat[CATALOG],144,7.03411138829324E-05,4.38781733956422E-05,-1.5492662971183E-05,3.86668388708422E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0004_0000_2_clean.fits.fcat[CATALOG],121,5.22140338148346E-05,4.34283000525034E-05,-5.5948553914220E-06,3.84696539808791E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44584960/SPITZER_I2_44584960_0005_0000_2_clean.fits.fcat[CATALOG],126,3.99540049329516E-05,4.27549195724795E-05,-1.4912012483492E-05,3.49273047211418E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0001_0000_2_clean.fits.fcat[CATALOG],131,2.83045604874132E-05,3.33896496059301E-05,-2.8934531925983E-07,3.79766274627939E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0002_0000_2_clean.fits.fcat[CATALOG],142,2.18271638630085E-05,4.01763238133823E-05,-1.4760728630491E-05,3.47064984883065E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0003_0000_2_clean.fits.fcat[CATALOG],146,7.18643152879394E-05,4.28346964989993E-05,-7.8452291649711E-06,4.02686529610574E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0004_0000_2_clean.fits.fcat[CATALOG],135,4.85809333099496E-05,4.07849414209827E-05,-2.3797070060282E-05,3.75213998420035E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r44586752/SPITZER_I2_44586752_0005_0000_2_clean.fits.fcat[CATALOG],142,2.6192320433438E-05,4.48535026672928E-05,2.74805136335487E-06,4.26115342564506E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0001_0000_2_clean.fits.fcat[CATALOG],122,5.24396246248670E-05,3.66710997952296E-05,-4.3399281803857E-05,3.23312347934512E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0002_0000_2_clean.fits.fcat[CATALOG],134,3.97911117886451E-05,4.11213515322433E-05,-6.3188048571305E-05,3.04409040748333E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0003_0000_2_clean.fits.fcat[CATALOG],134,1.76285716122492E-05,3.32812478117341E-05,-4.5394337142568E-06,3.21807147904333E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0004_0000_2_clean.fits.fcat[CATALOG],139,3.38657372935813E-05,3.83367255247363E-05,-3.1419015506628E-05,3.20837919075820E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0005_0000_2_clean.fits.fcat[CATALOG],128,1.62280951485627E-05,4.08046591182438E-05,-2.5573028898051E-05,4.02142885839742E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0006_0000_2_clean.fits.fcat[CATALOG],138,-1.3035355209467E-05,4.02565272089708E-05,-6.7657168298040E-05,3.13697911606582E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0007_0000_2_clean.fits.fcat[CATALOG],129,3.86809512065156E-05,3.68905139541421E-05,7.19107810098762E-06,3.41701895623634E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0008_0000_2_clean.fits.fcat[CATALOG],141,4.86710110294552E-05,4.58716451437842E-05,-7.2854554936441E-05,3.62854945785725E-05
/home/rsiverd/ucd_project/ucd_targets/wise1828/r46438912/SPITZER_I2_46438912_0009_0000_2_clean.fits.fcat[CATALOG],138,6.54317628061562E-05,3.69577576539087E-05,-5.2784849371434E-05,3.34852410627622E-05
