aor,avgjd,ra_resid,ra_resid_std,de_resid,de_resid_std
39526912,2455387.837882,-49.053020,136.079765,-49.262988,92.384170
41027328,2455534.773235,-195.023237,23.191195,-31.290947,30.323338
44584960,2456108.044506,-98.424970,153.816892,-76.522256,41.322783
44586752,2456131.581842,-823.311544,17.675375,-106.190517,49.663988
46438912,2456249.933999,-89.320459,40.421753,32.732940,40.290606
46439168,2456263.515958,528.973339,572.904415,209.782328,178.764304
46651136,2456332.164245,-24.396449,223.103575,65.329138,71.544710
46651648,2456465.100096,181.472012,70.995974,36.961183,57.995783
46652160,2456491.244036,55.928092,37.241162,-14.693783,34.628535
46655232,2456535.906420,-153.231923,124.469492,-48.665878,81.780409
46655744,2456612.725356,528.295473,455.206237,80.153954,110.603189
46656256,2456645.974944,628.553856,42.367502,75.778743,41.703302
46656768,2456831.616317,51.724597,47.081894,-57.358652,30.708176
46657280,2456845.258993,-386.446399,333.194978,-71.110276,118.561070
46657792,2456865.045351,-782.411677,79.183574,-77.937489,43.298804
46658304,2456878.965678,-43.018865,310.544255,-2.036994,86.727634
61240320,2457716.726422,806.895103,67.661054,70.487809,68.123591
61240576,2457738.283966,657.706228,61.181009,12.406433,69.934671
61240832,2457785.412861,-121.363802,178.295820,-21.230341,53.270655
61241088,2457950.203046,-645.907581,50.111018,-37.411322,42.702168
61241344,2457975.601563,-539.710322,582.039227,-50.306516,63.510396
61245440,2458006.413723,903.825179,306.240794,79.195543,52.864429
61245696,2458091.719474,48.687779,34.172158,21.752042,31.524947
61245952,2458113.573285,-28.480308,53.779215,64.709319,29.141277
61246208,2458156.066041,-204.488050,203.695206,58.085910,77.050810
61246464,2458319.563592,-773.706286,52.059611,-136.179387,23.505939
61246720,2458349.851776,163.193071,77.837247,14.448249,71.783596
61246976,2458370.663127,97.872192,36.883811,-30.473635,44.829869
