cbase,nsrcs,udecs,ndupe
wircam_H2_1319397p.fits.fz.fcat,1315,1312,3
wircam_H2_1319398p.fits.fz.fcat,1270,1270,0
wircam_H2_1319399p.fits.fz.fcat,1336,1335,1
wircam_H2_1319400p.fits.fz.fcat,1376,1375,1
wircam_H2_1319401p.fits.fz.fcat,1356,1356,0
wircam_H2_1319402p.fits.fz.fcat,1466,1464,2
wircam_H2_1319403p.fits.fz.fcat,1388,1384,4
wircam_H2_1319404p.fits.fz.fcat,1279,1279,0
wircam_H2_1319405p.fits.fz.fcat,1390,1389,1
wircam_H2_1319406p.fits.fz.fcat,1332,1331,1
wircam_H2_1319407p.fits.fz.fcat,1359,1357,2
wircam_H2_1319408p.fits.fz.fcat,1255,1255,0
wircam_H2_1319411p.fits.fz.fcat,1326,1324,2
wircam_H2_1319412p.fits.fz.fcat,1456,1454,2
wircam_H2_1319413p.fits.fz.fcat,1473,1471,2
wircam_H2_1319414p.fits.fz.fcat,1420,1416,4
wircam_H2_1319415p.fits.fz.fcat,1411,1410,1
wircam_H2_1319416p.fits.fz.fcat,1405,1402,3
wircam_H2_1319417p.fits.fz.fcat,1379,1378,1
wircam_J_1319375p.fits.fz.fcat,3538,3526,12
wircam_J_1319376p.fits.fz.fcat,3548,3539,9
wircam_J_1319377p.fits.fz.fcat,3518,3512,6
wircam_J_1319378p.fits.fz.fcat,3447,3438,9
wircam_J_1319379p.fits.fz.fcat,3349,3342,7
wircam_J_1319380p.fits.fz.fcat,3470,3466,4
wircam_J_1319381p.fits.fz.fcat,3484,3473,11
wircam_J_1319382p.fits.fz.fcat,3452,3449,3
wircam_J_1319383p.fits.fz.fcat,3445,3435,10
wircam_J_1319384p.fits.fz.fcat,3404,3399,5
wircam_J_1319385p.fits.fz.fcat,3376,3372,4
wircam_J_1319386p.fits.fz.fcat,3404,3399,5
wircam_J_1319387p.fits.fz.fcat,3362,3354,8
wircam_J_1319388p.fits.fz.fcat,3423,3413,10
wircam_J_1319389p.fits.fz.fcat,3430,3419,11
wircam_J_1319390p.fits.fz.fcat,3402,3397,5
wircam_J_1319391p.fits.fz.fcat,3453,3437,16
wircam_J_1319392p.fits.fz.fcat,3495,3482,13
wircam_J_1319393p.fits.fz.fcat,3429,3422,7
wircam_J_1319394p.fits.fz.fcat,3460,3457,3
wircam_J_1319395p.fits.fz.fcat,3447,3438,9
wircam_H2_1325853p.fits.fz.fcat,918,918,0
wircam_H2_1325854p.fits.fz.fcat,849,849,0
wircam_H2_1325855p.fits.fz.fcat,930,930,0
wircam_H2_1325856p.fits.fz.fcat,906,906,0
wircam_H2_1325857p.fits.fz.fcat,858,858,0
wircam_H2_1325858p.fits.fz.fcat,862,861,1
wircam_H2_1325859p.fits.fz.fcat,950,950,0
wircam_H2_1325860p.fits.fz.fcat,927,926,1
wircam_H2_1325861p.fits.fz.fcat,901,899,2
wircam_H2_1325862p.fits.fz.fcat,907,906,1
wircam_H2_1325863p.fits.fz.fcat,946,945,1
wircam_H2_1325864p.fits.fz.fcat,840,840,0
wircam_H2_1325865p.fits.fz.fcat,928,926,2
wircam_H2_1325866p.fits.fz.fcat,890,889,1
wircam_H2_1325867p.fits.fz.fcat,896,895,1
wircam_H2_1325868p.fits.fz.fcat,844,843,1
wircam_H2_1325869p.fits.fz.fcat,903,903,0
wircam_H2_1325870p.fits.fz.fcat,962,961,1
wircam_H2_1325871p.fits.fz.fcat,922,921,1
wircam_H2_1325872p.fits.fz.fcat,956,955,1
wircam_H2_1325873p.fits.fz.fcat,901,899,2
wircam_J_1325826p.fits.fz.fcat,3411,3403,8
wircam_J_1325827p.fits.fz.fcat,3373,3369,4
wircam_J_1325828p.fits.fz.fcat,3337,3335,2
wircam_J_1325829p.fits.fz.fcat,3438,3433,5
wircam_J_1325830p.fits.fz.fcat,3415,3404,11
wircam_J_1325831p.fits.fz.fcat,3404,3399,5
wircam_J_1325832p.fits.fz.fcat,3382,3374,8
wircam_J_1325833p.fits.fz.fcat,3428,3422,6
wircam_J_1325834p.fits.fz.fcat,3302,3293,9
wircam_J_1325835p.fits.fz.fcat,3427,3422,5
wircam_J_1325836p.fits.fz.fcat,3342,3340,2
wircam_J_1325837p.fits.fz.fcat,3370,3367,3
wircam_J_1325838p.fits.fz.fcat,3322,3313,9
wircam_J_1325839p.fits.fz.fcat,3353,3350,3
wircam_J_1325840p.fits.fz.fcat,3366,3361,5
wircam_J_1325841p.fits.fz.fcat,3334,3331,3
wircam_J_1325842p.fits.fz.fcat,3396,3392,4
wircam_J_1325843p.fits.fz.fcat,3437,3433,4
wircam_J_1325844p.fits.fz.fcat,3328,3324,4
wircam_J_1325845p.fits.fz.fcat,3420,3417,3
wircam_J_1325846p.fits.fz.fcat,3397,3385,12
wircam_J_1325848p.fits.fz.fcat,3410,3402,8
wircam_J_1325849p.fits.fz.fcat,3403,3393,10
wircam_J_1325850p.fits.fz.fcat,3444,3433,11
wircam_J_1325851p.fits.fz.fcat,3401,3396,5
wircam_H2_1333375p.fits.fz.fcat,1018,1018,0
wircam_H2_1333376p.fits.fz.fcat,971,971,0
wircam_H2_1333377p.fits.fz.fcat,1077,1076,1
wircam_H2_1333378p.fits.fz.fcat,1021,1017,4
wircam_H2_1333379p.fits.fz.fcat,1046,1046,0
wircam_H2_1333380p.fits.fz.fcat,935,935,0
wircam_H2_1333381p.fits.fz.fcat,1058,1056,2
wircam_H2_1333382p.fits.fz.fcat,1013,1013,0
wircam_H2_1333383p.fits.fz.fcat,943,942,1
wircam_H2_1333384p.fits.fz.fcat,959,957,2
wircam_H2_1333385p.fits.fz.fcat,985,984,1
wircam_H2_1333386p.fits.fz.fcat,976,975,1
wircam_H2_1333387p.fits.fz.fcat,1047,1046,1
wircam_H2_1333388p.fits.fz.fcat,971,968,3
wircam_H2_1333389p.fits.fz.fcat,973,970,3
wircam_H2_1333390p.fits.fz.fcat,1050,1047,3
wircam_H2_1333391p.fits.fz.fcat,977,977,0
wircam_H2_1333392p.fits.fz.fcat,997,995,2
wircam_H2_1333393p.fits.fz.fcat,984,982,2
wircam_H2_1333394p.fits.fz.fcat,960,958,2
wircam_H2_1333395p.fits.fz.fcat,1000,999,1
wircam_J_1333340p.fits.fz.fcat,3505,3492,13
wircam_J_1333341p.fits.fz.fcat,3511,3500,11
wircam_J_1333342p.fits.fz.fcat,3521,3507,14
wircam_J_1333343p.fits.fz.fcat,3532,3518,14
wircam_J_1333344p.fits.fz.fcat,3447,3428,19
wircam_J_1333345p.fits.fz.fcat,3530,3515,15
wircam_J_1333346p.fits.fz.fcat,3528,3508,20
wircam_J_1333347p.fits.fz.fcat,3495,3480,15
wircam_J_1333348p.fits.fz.fcat,3490,3468,22
wircam_J_1333349p.fits.fz.fcat,3579,3560,19
wircam_J_1333350p.fits.fz.fcat,3555,3535,20
wircam_J_1333351p.fits.fz.fcat,3482,3476,6
wircam_J_1333352p.fits.fz.fcat,3515,3496,19
wircam_J_1333353p.fits.fz.fcat,3521,3495,26
wircam_J_1333354p.fits.fz.fcat,3504,3488,16
wircam_J_1333355p.fits.fz.fcat,3527,3514,13
wircam_J_1333356p.fits.fz.fcat,3509,3488,21
wircam_J_1333357p.fits.fz.fcat,3515,3496,19
wircam_J_1333358p.fits.fz.fcat,3496,3485,11
wircam_J_1333359p.fits.fz.fcat,3538,3524,14
wircam_J_1333360p.fits.fz.fcat,3490,3471,19
wircam_J_1333362p.fits.fz.fcat,3551,3531,20
wircam_J_1333363p.fits.fz.fcat,3487,3471,16
wircam_J_1333364p.fits.fz.fcat,3541,3520,21
wircam_J_1333365p.fits.fz.fcat,3522,3507,15
wircam_J_1333366p.fits.fz.fcat,3515,3496,19
wircam_J_1333367p.fits.fz.fcat,3517,3502,15
wircam_J_1333368p.fits.fz.fcat,3501,3483,18
wircam_J_1333369p.fits.fz.fcat,3528,3509,19
wircam_J_1333370p.fits.fz.fcat,3520,3497,23
wircam_J_1333371p.fits.fz.fcat,3531,3521,10
wircam_J_1333372p.fits.fz.fcat,3474,3455,19
wircam_J_1333373p.fits.fz.fcat,3531,3516,15
wircam_H2_1539087p.fits.fz.fcat,991,989,2
wircam_H2_1539088p.fits.fz.fcat,994,993,1
wircam_H2_1539089p.fits.fz.fcat,908,908,0
wircam_H2_1539090p.fits.fz.fcat,896,895,1
wircam_H2_1539091p.fits.fz.fcat,899,899,0
wircam_H2_1539092p.fits.fz.fcat,896,895,1
wircam_H2_1539093p.fits.fz.fcat,918,916,2
wircam_H2_1539094p.fits.fz.fcat,930,928,2
wircam_H2_1539095p.fits.fz.fcat,926,925,1
wircam_H2_1539096p.fits.fz.fcat,873,872,1
wircam_H2_1539097p.fits.fz.fcat,913,912,1
wircam_H2_1539098p.fits.fz.fcat,851,849,2
wircam_H2_1539099p.fits.fz.fcat,893,892,1
wircam_H2_1539100p.fits.fz.fcat,941,941,0
wircam_H2_1539101p.fits.fz.fcat,881,880,1
wircam_H2_1539102p.fits.fz.fcat,935,934,1
wircam_H2_1539103p.fits.fz.fcat,924,923,1
wircam_H2_1539104p.fits.fz.fcat,1024,1022,2
wircam_H2_1539105p.fits.fz.fcat,961,961,0
wircam_H2_1539106p.fits.fz.fcat,1011,1011,0
wircam_H2_1539107p.fits.fz.fcat,957,956,1
wircam_H2_1539109p.fits.fz.fcat,987,986,1
wircam_J_1538227p.fits.fz.fcat,3387,3382,5
wircam_J_1538228p.fits.fz.fcat,3441,3433,8
wircam_J_1538229p.fits.fz.fcat,3330,3324,6
wircam_J_1538230p.fits.fz.fcat,3321,3314,7
wircam_J_1538231p.fits.fz.fcat,3283,3276,7
wircam_J_1538232p.fits.fz.fcat,3331,3325,6
wircam_J_1538233p.fits.fz.fcat,3337,3329,8
wircam_J_1538234p.fits.fz.fcat,3229,3227,2
wircam_J_1538235p.fits.fz.fcat,3339,3330,9
wircam_J_1538236p.fits.fz.fcat,3312,3309,3
wircam_J_1538237p.fits.fz.fcat,3302,3295,7
wircam_J_1538238p.fits.fz.fcat,3260,3255,5
wircam_J_1538239p.fits.fz.fcat,3309,3303,6
wircam_J_1538240p.fits.fz.fcat,3258,3255,3
wircam_J_1538241p.fits.fz.fcat,3212,3208,4
wircam_J_1538242p.fits.fz.fcat,3210,3207,3
wircam_J_1538243p.fits.fz.fcat,3232,3228,4
wircam_J_1538244p.fits.fz.fcat,3318,3312,6
wircam_J_1538245p.fits.fz.fcat,3193,3187,6
wircam_J_1538246p.fits.fz.fcat,3239,3232,7
wircam_J_1538247p.fits.fz.fcat,3004,3001,3
wircam_H2_1561430p.fits.fz.fcat,121,121,0
wircam_J_1558532p.fits.fz.fcat,3009,3007,2
wircam_J_1558533p.fits.fz.fcat,2952,2947,5
wircam_J_1558534p.fits.fz.fcat,2511,2497,14
wircam_J_1558535p.fits.fz.fcat,3035,3032,3
wircam_J_1558536p.fits.fz.fcat,3283,3280,3
wircam_J_1558537p.fits.fz.fcat,3204,3202,2
wircam_J_1558538p.fits.fz.fcat,2927,2925,2
wircam_J_1558539p.fits.fz.fcat,3154,3148,6
wircam_J_1558540p.fits.fz.fcat,3118,3117,1
wircam_J_1558541p.fits.fz.fcat,3302,3300,2
wircam_J_1558542p.fits.fz.fcat,3113,3105,8
wircam_J_1558543p.fits.fz.fcat,2927,2925,2
wircam_J_1558544p.fits.fz.fcat,2749,2739,10
wircam_J_1558545p.fits.fz.fcat,2784,2780,4
