fbase,qrunid,SIDTIME,LSTEND,HA,HAEND,AIRMASS,TELALT,TELAZ,CRVAL1,CRVAL2,JDTDB,OBS_X,OBS_Y,OBS_Z,OBS_VX,OBS_VY,OBS_VZ
wircam_J_1319375p_fixed.fits.fz.fcat,11AQ15,19:32:00.14,19:32:25.31,-0:06:25.95,-0:06:00.78,1.037,74.6543,4.9904,294.591188683,35.1188534002,2455761.922025155,0.4457779089399622,-0.8366653231925453,-0.3626738091450096,0.01538254187138045,0.007011169625685993,0.002996361904055893
wircam_J_1319376p_fixed.fits.fz.fcat,11AQ15,19:32:37.01,19:33:02.37,-0:05:41.74,-0:05:16.38,1.037,74.6774,4.4217,294.560651010,35.1105190070,2455761.922450655,0.4457844541438915,-0.836662339785738,-0.3626725341837134,0.01538222398450163,0.007011894107962059,0.002996405694303066
wircam_J_1319377p_fixed.fits.fz.fcat,11AQ15,19:33:11.98,19:33:37.35,-0:05:16.55,-0:04:51.18,1.037,74.7006,4.1089,294.601378456,35.0938461604,2455761.922854355,0.445790663886671,-0.836659508945386,-0.3626713245263338,0.01538192095581495,0.007012580968872623,0.002996447250533804
wircam_J_1319378p_fixed.fits.fz.fcat,11AQ15,19:33:46.81,19:34:12.08,-0:04:46.61,-0:04:21.34,1.037,74.6756,3.7062,294.621761870,35.1272197340,2455761.923256355,0.4457968473579584,-0.8366566897504993,-0.3626701199462293,0.01538161767156031,0.007013264225393755,0.002996488630510781
wircam_J_1319379p_fixed.fits.fz.fcat,11AQ15,19:34:21.49,19:34:46.65,-0:04:02.14,-0:03:36.98,1.037,74.6690,3.1363,294.581033834,35.1438431439,2455761.923656655,0.4458030045588134,-0.8366538822047686,-0.3626689204435888,0.0153813141405504,0.00701394393921427,0.002996529807795931
wircam_J_1319380p_fixed.fits.fz.fcat,11AQ15,19:34:56.16,19:35:21.45,-0:03:25.04,-0:02:59.75,1.037,74.6850,2.6476,294.570874979,35.1355003011,2455761.924056855,0.4458091600997715,-0.836651075088538,-0.3626677212241153,0.01538100928763728,0.007014622833454791,0.002996571011519145
wircam_J_1319381p_fixed.fits.fz.fcat,11AQ15,19:35:33.16,19:35:58.29,-0:02:57.82,-0:02:32.69,1.037,74.7235,2.3104,294.611572375,35.1021637179,2455761.924483955,0.4458157292590648,-0.8366480789885118,-0.3626664413792481,0.01538068227081358,0.007015346645966561,0.002996614973613736
wircam_J_1319382p_fixed.fits.fz.fcat,11AQ15,19:36:08.87,19:36:33.99,-0:02:20.64,-0:01:55.52,1.037,74.6914,1.8312,294.605475904,35.1388396623,2455761.924896155,0.4458220691110236,-0.8366451871187217,-0.3626652061658027,0.01538036508894981,0.007016044602051444,0.00299665740670694
wircam_J_1319383p_fixed.fits.fz.fcat,11AQ15,19:36:45.49,19:37:10.66,-0:01:37.17,-0:01:12.00,1.037,74.7367,1.2635,294.576942927,35.0988293903,2455761.925318755,0.4458285687843392,-0.8366422219872041,-0.3626639397691863,0.01538003830566235,0.007016759372745224,0.002996700901729061
wircam_J_1319384p_fixed.fits.fz.fcat,11AQ15,19:37:20.40,19:37:45.72,-0:00:59.82,-0:00:34.50,1.037,74.7136,0.7857,294.566763529,35.1238494669,2455761.925721655,0.4458347653386915,-0.836639394797705,-0.3626627323900444,0.01537972510272725,0.00701744010002487,0.002996742391864639
wircam_J_1319385p_fixed.fits.fz.fcat,11AQ15,19:37:55.22,19:38:20.29,-0:00:36.73,-0:00:11.66,1.037,74.7253,0.4810,294.615665573,35.1138657522,2455761.926123655,0.445840947925129,-0.8366365736503595,-0.362661527691296,0.01537941128731033,0.007018118756322813,0.002996783763028928
wircam_J_1319386p_fixed.fits.fz.fcat,11AQ15,19:38:32.14,19:38:57.47,0:00:07.52,0:00:32.85,1.037,74.7087,359.9147,294.585109809,35.1305039340,2455761.926549755,0.445847501021204,-0.8366335830768029,-0.3626602507523684,0.01537907697358089,0.007018837316472475,0.002996827636996637
wircam_J_1319387p_fixed.fits.fz.fcat,11AQ15,19:39:08.10,19:39:33.69,0:00:40.55,0:01:06.14,1.037,74.7314,359.4836,294.597299287,35.1071472477,2455761.926964855,0.4458538848081017,-0.8366306694123176,-0.3626590067603621,0.01537874968356386,0.007019536532771757,0.002996870369721237
wircam_J_1319388p_fixed.fits.fz.fcat,11AQ15,19:39:43.05,19:40:08.61,0:01:14.03,0:01:39.59,1.037,74.7078,359.0568,294.603455561,35.1285394457,2455761.927368255,0.4458600885313218,-0.8366278375943139,-0.3626577978144758,0.01537843001652205,0.007020215391761525,0.002996911895107567
wircam_J_1319389p_fixed.fits.fz.fcat,11AQ15,19:40:18.17,19:40:43.39,0:01:55.03,0:02:20.25,1.037,74.7249,358.5189,294.578967576,35.1088485545,2455761.927773655,0.4458663228815534,-0.8366249914607995,-0.3626565828579256,0.01537810739282337,0.007020896982684606,0.002996953658436476
wircam_J_1319390p_fixed.fits.fz.fcat,11AQ15,19:40:52.85,19:41:18.28,0:02:27.74,0:02:53.17,1.037,74.7347,358.0976,294.587109384,35.0955135183,2455761.928173955,0.4458724786739358,-0.8366221808611716,-0.3626553831691361,0.01537778731158521,0.007021569196907548,0.002996994835721626
wircam_J_1319391p_fixed.fits.fz.fcat,11AQ15,19:41:29.00,19:41:54.15,0:03:01.94,0:03:27.09,1.037,74.6828,357.6608,294.595284799,35.1421622871,2455761.928591155,0.4458788942169282,-0.8366192513164726,-0.36265413281393,0.0153774522311519,0.007022269144659941,0.002997037828420525
