FILENAME,EXPTIME,HDRFRAME,PTGCPD
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0011_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0012_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0013_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0014_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0016_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0017_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0018_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0019_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I1_17576448_0020_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0000_0000_6_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0001_0000_6_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0002_0000_6_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0003_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0004_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0005_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0006_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0007_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0008_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0009_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576448/SPITZER_I2_17576448_0010_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0011_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0012_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0013_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0014_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0015_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0016_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0017_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0018_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0019_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I1_17576704_0020_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0000_0000_6_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0001_0000_6_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0002_0000_6_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0003_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0004_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0005_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0006_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0007_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0008_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0009_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576704/SPITZER_I2_17576704_0010_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0011_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0012_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0013_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0014_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0015_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0016_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0017_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0018_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0019_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I1_17576960_0020_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0000_0000_6_cbcd.fits,1.,   short,Yes     
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0001_0000_6_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0002_0000_6_cbcd.fits,26.8,    long,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0003_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0004_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0005_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0006_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0007_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0008_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0009_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17576960/SPITZER_I2_17576960_0010_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I1_17577216_0011_0000_6_cbcd.fits,26.8,___,___
/home/rsiverd/ucd_project/ucd_targets/2m0415/r17577216/SPITZER_I1_17577216_0012_0000_6_cbcd.fits,26.8,___,___
