FILENAME DATE_OBS CRPIX1 CRPIX2 CRVAL1 CRVAL2 CRDER1 CRDER2 A_ORDER A_0_2 A_0_3 A_0_4 A_0_5 A_1_1 A_1_2 A_1_3 A_1_4 A_2_0 A_2_1 A_2_2 A_2_3 A_3_0 A_3_1 A_3_2 A_4_0 A_4_1 A_5_0 A_DMAX B_ORDER B_0_2 B_0_3 B_0_4 B_0_5 B_1_1 B_1_2 B_1_3 B_1_4 B_2_0 B_2_1 B_2_2 B_2_3 B_3_0 B_3_1 B_3_2 B_4_0 B_4_1 B_5_0 B_DMAX
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0011_0000_6_cbcd.fits 2006-09-22T04:29:16.113 128. 128. 63.8353177450252 -9.58287002846204 4.18759500180519E-05 4.16852033736991E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0012_0000_6_cbcd.fits 2006-09-22T04:29:47.711 128. 128. 63.8353049337346 -9.58284871400043 4.16508377958313E-05 4.15778780687717E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0013_0000_6_cbcd.fits 2006-09-22T04:30:26.914 128. 128. 63.8296400839044 -9.58156885237235 4.1745742448816E-05 4.17146679986137E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0014_0000_6_cbcd.fits 2006-09-22T04:30:58.504 128. 128. 63.8296203258421 -9.58157947527512 4.1950474046784E-05 4.17137604530091E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0015_0000_6_cbcd.fits 2006-09-22T04:31:38.105 128. 128. 63.8378277610794 -9.57545059965257 4.15231626012206E-05 4.14425558944921E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0016_0000_6_cbcd.fits 2006-09-22T04:32:09.703 128. 128. 63.8378294336594 -9.57546535922197 4.15278417719066E-05 4.14233459135903E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0017_0000_6_cbcd.fits 2006-09-22T04:32:49.312 128. 128. 63.8369155998159 -9.58357369457016 4.17011447852913E-05 4.1358059363599E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0018_0000_6_cbcd.fits 2006-09-22T04:33:20.507 128. 128. 63.8369155030418 -9.58356186069928 4.17987780887345E-05 4.15672398094742E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0019_0000_6_cbcd.fits 2006-09-22T04:34:00.113 128. 128. 63.8406080029307 -9.59029072985215 4.14534509591871E-05 4.12226678181435E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
/home/rsiverd/ucd_project/ucd_data/2m0415_ch1/SPITZER_I1_17576448_0020_0000_6_cbcd.fits 2006-09-22T04:34:31.308 128. 128. 63.8406071888391 -9.59028514018054 3.97488518305018E-05 3.95740161737306E-05 3 2.9656E-06 3.7746E-09 ___ ___ 2.1886E-05 -1.6847E-07 ___ ___ -2.3863E-05 -8.561E-09 ___ ___ -1.4172E-07 ___ ___ ___ ___ ___ 1.394 3 2.31E-05 -1.6168E-07 ___ ___ -2.4386E-05 -5.7813E-09 ___ ___ 2.1197E-06 -1.6583E-07 ___ ___ -2.0249E-08 ___ ___ ___ ___ ___ 1.501
