*******************************************************************************
 Revised: July 31, 2013                  Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Dec 19 17:06:13 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2005-Dec-19 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-18 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2453723.500000000, A.D. 2005-Dec-19 00:00:00.0000,      64.183574,  8.036433564272199E+06,  1.473164627584898E+08, -1.990110152924806E+04, -3.023002053152257E+01,  1.414442265311668E+00,  3.869404419086786E-04,
2453724.500000000, A.D. 2005-Dec-20 00:00:00.0000,      64.183602,  5.423467067043507E+06,  1.474159144660786E+08, -1.985868665216863E+04, -3.025381602431058E+01,  8.875409593966094E-01,  5.905501899466925E-04,
2453725.500000000, A.D. 2005-Dec-21 00:00:00.0000,      64.183630,  2.808834472083037E+06,  1.474698072968936E+08, -1.979990138270706E+04, -3.026857272843197E+01,  3.598574954825317E-01,  7.647917977763041E-04,
2453726.500000000, A.D. 2005-Dec-22 00:00:00.0000,      64.183658,  1.933205877821044E+05,  1.474780787436008E+08, -1.972755078309774E+04, -3.027420137530970E+01, -1.684887400723272E-01,  9.036410101649697E-04,
2453727.500000000, A.D. 2005-Dec-23 00:00:00.0000,      64.183687, -2.422282065115072E+06,  1.474406770856291E+08, -1.964491986298561E+04, -3.027061259016962E+01, -6.973679399646260E-01,  1.001969211617049E-03,
2453728.500000000, A.D. 2005-Dec-24 00:00:00.0000,      64.183715, -5.037173183366735E+06,  1.473575621809238E+08, -1.955570598334819E+04, -3.025771514675659E+01, -1.226642112624476E+00,  1.055335937394597E-03,
2453729.500000000, A.D. 2005-Dec-25 00:00:00.0000,      64.183744, -7.650544384743562E+06,  1.472287061510173E+08, -1.946396279070526E+04, -3.023541261408585E+01, -1.756165149754316E+00,  1.059946131938161E-03,
2453730.500000000, A.D. 2005-Dec-26 00:00:00.0000,      64.183773, -1.026157858935063E+07,  1.470540941876716E+08, -1.937403721858561E+04, -3.020359947466093E+01, -2.285779806733333E+00,  1.012868667059741E-03,
2453731.500000000, A.D. 2005-Dec-27 00:00:00.0000,      64.183801, -1.286944910038978E+07,  1.468337257784669E+08, -1.929047334331274E+04, -3.016215838773714E+01, -2.815310960496917E+00,  9.125953875688264E-04,
2453732.500000000, A.D. 2005-Dec-28 00:00:00.0000,      64.183831, -1.547331858198646E+07,  1.465676166762363E+08, -1.921785203156620E+04, -3.011096100130965E+01, -3.344555250991464E+00,  7.599642079618718E-04,
2453733.500000000, A.D. 2005-Dec-29 00:00:00.0000,      64.183860, -1.807233836406100E+07,  1.462558018678802E+08, -1.916053825656325E+04, -3.004987518534139E+01, -3.873268759051070E+00,  5.593399211625272E-04,
2453734.500000000, A.D. 2005-Dec-30 00:00:00.0000,      64.183889, -2.066564873554970E+07,  1.458983395582205E+08, -1.912232590880990E+04, -2.997878088506631E+01, -4.401156706638829E+00,  3.197321790537888E-04,
2453735.500000000, A.D. 2005-Dec-31 00:00:00.0000,      64.183918, -2.325238097335961E+07,  1.454953157407798E+08, -1.910600775499642E+04, -2.989759398204513E+01, -4.927871274238144E+00,  5.530696383893030E-05,
