*******************************************************************************
 Revised: Aug 14, 2019     Spitzer Space Telescope (SST) / (Sun)            -79 
                              http://spitzer.caltech.edu/

 Spitzer Space Telescope 
  Launched: Aug 25, 2003
  Renamed : Dec 18, 2003 (formerly "SIRTF": Space Infrared Telescope Facility)

 EXTENDED MISSION (2009-present):
  Cryogen depletion is expected to occur in April 2009. A 2-year extended 
  "warm" mission will continue operating the 3.6 and 4.5 micron channels on the
  IRAC instrument with expected sensitivity unchanged from performance in the 
  cryogenic mission. The longer wavelength IRAC channels (5.6 and 8.0 microns) 
  and the MIPS and IRS instruments will be unavailable.

 PRIME MISSION (2003-2009):
  Spitzer will obtain images and spectra by detecting infrared (heat) energy, 
  having wavelengths of 3 and 180 microns, radiated by objects in space.  Most
  of this infrared radiation is blocked by the Earth's atmosphere and cannot be
  observed from the ground.  The telescope must be cooled to near absolute zero
  (-459 degrees F, or -273 degrees Celsius) to record infrared from distant 
  regions of space without interference from the telescope's own heat.

 SPACECRAFT:
   0.85-meter telescope 
   3 cryogenically-cooled science instruments
   2 solar panels composed of 392 solar cells, producing 427 Watts. 
   Each solar cell is 5.5 x 6.5 cm. Each panel is 50% covered by solar cells,
    and 50% covered by optical reflectors to reduce panel temp to 330 K.
   Spitzer cannot point more than 120 degrees away from the sun and maintain
    adequate power levels.

 SPACECRAFT TRAJECTORY:
   Post-launch trajectory "sst_030825_190812_220101"

   This orbit solution is based on 2-way doppler tracking data through 
   2019-Aug-10. The trajectory after that date is the nominal prediction.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Dec 19 05:46:25 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Spitzer Space Telescope (-79)   {source: sst_030825_191125_220101}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2005-Dec-19 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-18 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2453723.500000000, A.D. 2005-Dec-19 00:00:00.0000,      64.183574,  3.275364053562309E-01,  9.605821734247446E-01,  1.805600379421195E-02, -1.627934755967415E-02,  5.305712877006995E-03, -1.467849855950133E-04,
2453724.500000000, A.D. 2005-Dec-20 00:00:00.0000,      64.183602,  3.112115872108694E-01,  9.657506953502595E-01,  1.790662873317626E-02, -1.636951972824685E-02,  5.031059472277806E-03, -1.519585616703065E-04,
2453725.500000000, A.D. 2005-Dec-21 00:00:00.0000,      64.183630,  2.947989100433924E-01,  9.706437632099182E-01,  1.775210121547316E-02, -1.645506143514779E-02,  4.754816896092112E-03, -1.570903376747316E-04,
2453726.500000000, A.D. 2005-Dec-22 00:00:00.0000,      64.183658,  2.783030172678070E-01,  9.752598249458012E-01,  1.759246191641203E-02, -1.653594521180992E-02,  4.477061026332500E-03, -1.621811143203527E-04,
2453727.500000000, A.D. 2005-Dec-23 00:00:00.0000,      64.183687,  2.617285822582972E-01,  9.795974072579481E-01,  1.742775360913663E-02, -1.661214137768394E-02,  4.197871177406456E-03, -1.672281082909112E-04,
2453728.500000000, A.D. 2005-Dec-24 00:00:00.0000,      64.183715,  2.450803062181019E-01,  9.836551157108396E-01,  1.725802070465495E-02, -1.668362270730075E-02,  3.917326529572791E-03, -1.722300446013319E-04,
2453729.500000000, A.D. 2005-Dec-25 00:00:00.0000,      64.183744,  2.283629171065049E-01,  9.874316351463418E-01,  1.708330913111919E-02, -1.675036326763625E-02,  3.635506506172116E-03, -1.771852611982232E-04,
2453730.500000000, A.D. 2005-Dec-26 00:00:00.0000,      64.183773,  2.115811673644351E-01,  9.909257305654348E-01,  1.690366551681464E-02, -1.681234016639078E-02,  3.352491903822735E-03, -1.820938182974121E-04,
2453731.500000000, A.D. 2005-Dec-27 00:00:00.0000,      64.183801,  1.947398337510274E-01,  9.941362471389774E-01,  1.671913872515788E-02, -1.686952705932368E-02,  3.068362347367203E-03, -1.869513425659416E-04,
2453732.500000000, A.D. 2005-Dec-28 00:00:00.0000,      64.183831,  1.778437166757011E-01,  9.970621108607226E-01,  1.652977988380113E-02, -1.692190362787404E-02,  2.783199651241851E-03, -1.917576759966763E-04,
2453733.500000000, A.D. 2005-Dec-29 00:00:00.0000,      64.183860,  1.608976368935869E-01,  9.997023291615466E-01,  1.633564087109251E-02, -1.696944925406848E-02,  2.497085221223420E-03, -1.965114884508161E-04,
